Date,Open,High,Low,Close,Adj Close,Volume
2018-09-12,654.900024,662.000000,643.250000,656.450012,633.842651,3302191
2018-09-14,664.000000,670.000000,659.049988,666.400024,643.450134,1512857
2018-09-17,673.000000,673.000000,660.400024,664.900024,642.001709,2220455
2018-09-18,665.000000,673.000000,660.599976,663.700012,640.843018,1814726
2018-09-19,668.000000,678.450012,645.750000,660.599976,637.849731,3043018
2018-09-21,668.000000,671.549988,638.400024,653.200012,630.704590,2276641
2018-09-24,662.000000,668.950012,640.799988,645.599976,623.366272,2766326
2018-09-25,644.000000,665.799988,643.000000,661.750000,638.960144,2295464
2018-09-26,664.450012,675.250000,656.000000,672.799988,649.629578,2131833
2018-09-27,675.000000,677.000000,655.950012,659.349976,636.642700,3433359
2018-09-28,659.349976,663.000000,647.200012,654.049988,631.525330,1862405
2018-10-01,653.049988,659.000000,643.500000,654.150024,631.621887,1309530
2018-10-03,650.000000,663.950012,650.000000,654.549988,632.008057,1533990
2018-10-04,650.099976,654.650024,632.099976,638.400024,616.414307,1736407
2018-10-05,635.299988,649.549988,631.000000,636.650024,614.724548,1806150
2018-10-08,636.599976,642.650024,628.450012,638.799988,616.800476,1564640
2018-10-09,639.500000,643.099976,625.250000,639.349976,617.331482,1535781
2018-10-10,639.349976,651.000000,633.299988,639.599976,617.572937,1881053
2018-10-11,627.500000,633.799988,613.049988,616.200012,594.978760,1707508
2018-10-12,620.000000,627.200012,612.599976,622.900024,601.448120,2085360
2018-10-15,623.000000,649.799988,618.049988,647.849976,625.538879,2666868
2018-10-16,647.849976,651.650024,637.349976,639.750000,617.717773,1510216
2018-10-17,644.900024,646.000000,637.000000,640.450012,618.393677,1280980
2018-10-19,640.299988,645.549988,626.099976,633.799988,611.972595,2267774
2018-10-22,635.200012,640.650024,626.849976,629.650024,607.965637,1399755
2018-10-23,628.799988,632.000000,616.000000,622.349976,600.916992,1370461
2018-10-24,625.500000,635.000000,615.599976,621.299988,599.903137,987144
2018-10-25,618.549988,624.000000,605.150024,609.000000,588.026794,5739386
2018-10-26,609.200012,612.349976,598.650024,603.700012,582.909302,1935618
2018-10-29,602.349976,638.200012,601.450012,635.150024,613.276184,1614423
2018-10-30,636.000000,636.700012,608.099976,610.349976,589.330322,2418471
2018-10-31,612.000000,631.750000,606.299988,629.250000,607.579407,2305046
2018-11-01,630.000000,631.950012,614.000000,615.400024,594.206421,1442392
2018-11-02,619.950012,619.950012,605.500000,607.099976,586.192200,1566053
2018-11-05,607.400024,617.500000,557.099976,563.049988,543.659180,12941350
2018-11-06,555.000000,555.000000,527.349976,530.799988,512.519897,16941828
2018-11-07,536.000000,536.000000,532.099976,533.349976,514.982117,698244
